media,title,atricle_url,posted_at,thmbnail_img_url,lead_text
NBA_Report,ウィザーズの日本遠征,http://nbareporter.net/2022/09/30/01-129/,2022-09-30,http://nbareporter.net/wp-content/uploads/2022/09/Wizards_Japantrip-600x400.jpg,この記事は主にThe Athleticのジョッシュ・ロビンスの記事「How the Wiz
NBA_Report,サンズ売却について,http://nbareporter.net/2022/09/28/01-128/,2022-09-28,http://nbareporter.net/wp-content/uploads/2022/09/robertsarver3-1-600x400.jpg,ロバート・サーヴァーは最初、比較的ゆるいと非難されていたNBAからの1年停職の罰則に意地で
NBA_Report,イーメイ騒動、これまでのまとめ,http://nbareporter.net/2022/09/25/01-127/,2022-09-25,http://nbareporter.net/wp-content/uploads/2022/09/AP-PhotoSteven-Senne-600x400.jpg,セルティクスが球団規定違反のため、ヘッドコーチのイーメイ・ウドーカに1年の停職処分を課しま
NBA_Report,ロバート・サーヴァーへのNBAの罰則について,http://nbareporter.net/2022/09/22/01-126/,2022-09-22,http://nbareporter.net/wp-content/uploads/2022/09/robertsarver-1-600x400.jpg,9月14日、NBAが昨年11月から続けていたサンズのオーナーのロバート・サーヴァーの人種差
NBA_Report,NBAスケジュールのつくり方,http://nbareporter.net/2022/09/08/01-125/,2022-09-08,http://nbareporter.net/wp-content/uploads/2022/09/NBAschedule-600x400.jpg,8/17に2022-23シーズンのスケジュールが発表されました。通常は8/10~14の間で
NBA_Report,ドノヴァン・ミッチェルのトレード,http://nbareporter.net/2022/09/05/01-124/,2022-09-05,http://nbareporter.net/wp-content/uploads/2022/09/Glenn-James-600x400.jpg,ニックスへのトレードは間違いないと思われていたドノヴァン・ミッチェルがなんとキャヴァリアー
NBA_Report,Wojとネッツ,http://nbareporter.net/2022/08/25/01-123/,2022-08-25,http://nbareporter.net/wp-content/uploads/2022/08/woj2-600x400.jpg,前回特集したKDの最終通告のニュースではESPNのWojの姿が見られませんでした。Wojは
NBA_Report,ケヴィン・デュラントの最終通告,http://nbareporter.net/2022/08/19/01-122/,2022-08-19,http://nbareporter.net/wp-content/uploads/2022/08/Charles-Wenzelber_New-York-Post-600x400.jpg,ケヴィン・デュラントがネッツのオーナーのジョー・サイとロンドンで直接会った時に、自分を取る
NBA_Report,セクストンとキャヴァリアーズ,http://nbareporter.net/2022/08/10/01-121/,2022-08-10,http://nbareporter.net/wp-content/uploads/2022/08/sexton_QO4-600x400.jpg,トレードが落ち着いたからか、先週まだ契約できていないキャヴスのRFAのコリン・セクストンに
NBA_Report,ウォリアーズはどこまで払えるのか,http://nbareporter.net/2022/08/04/01-120/,2022-08-04,http://nbareporter.net/wp-content/uploads/2022/08/lacob_CEO2-600x400.jpg,昨年のウォリアーズはサラリーが$176.8Mで、リピータータックスが$176.7Mと合計$
